             f;      Abs(Zm);     Std(Abs);      Phi(Zm);     Std(Phi);       Re(Zm);       Im(Zm);     Time [s]
4.5000000e+004;    1575.5325;       0.0099;    -0.023254;     0.000012;    1575.1066;     -36.6342;   3464147706
3.9810717e+004;    1575.6582;       0.0037;    -0.021202;     0.000004;    1575.3040;     -33.4043;   3464147708
3.1622777e+004;    1576.0512;       0.0067;    -0.018138;     0.000003;    1575.7920;     -28.5844;   3464147710
2.5118864e+004;    1576.6667;       0.0020;    -0.015922;     0.000002;    1576.4668;     -25.1024;   3464147712
1.9952623e+004;    1577.4902;       0.0038;    -0.014381;     0.000000;    1577.3271;     -22.6857;   3464147713
1.5848932e+004;    1578.4323;       0.0048;    -0.013383;     0.000001;    1578.2910;     -21.1234;   3464147715
1.2589254e+004;    1579.5858;       0.0034;    -0.012872;     0.000001;    1579.4550;     -20.3322;   3464147717
1.0000000e+004;    1580.9523;       0.0066;    -0.012779;     0.000000;    1580.8232;     -20.2025;   3464147719
7.9432823e+003;    1582.5112;       0.0050;    -0.013045;     0.000001;    1582.3766;     -20.6434;   3464147721
6.3095734e+003;    1584.3473;       0.0025;    -0.013640;     0.000000;    1584.1999;     -21.6095;   3464147722
5.0118723e+003;    1586.4308;       0.0037;    -0.014534;     0.000002;    1586.2633;     -23.0559;   3464147724
3.9810717e+003;    1588.8766;       0.0045;    -0.015709;     0.000001;    1588.6805;     -24.9588;   3464147726
3.1622777e+003;    1591.6568;       0.0030;    -0.017161;     0.000000;    1591.4224;     -27.3138;   3464147728
2.5118864e+003;    1594.8520;       0.0014;    -0.018874;     0.000002;    1594.5680;     -30.0992;   3464147730
1.9952623e+003;    1598.5056;       0.0025;    -0.020858;     0.000003;    1598.1578;     -33.3397;   3464147731
1.5848932e+003;    1602.7317;       0.0044;    -0.023109;     0.000001;    1602.3037;     -37.0349;   3464147733
1.2589254e+003;    1607.4641;       0.0068;    -0.025639;     0.000001;    1606.9358;     -41.2100;   3464147735
1.0000000e+003;    1612.9131;       0.0051;    -0.028450;     0.000002;    1612.2604;     -45.8816;   3464147737
7.9432823e+002;    1619.1065;       0.0036;    -0.031540;     0.000001;    1618.3012;     -51.0582;   3464147739
6.3095734e+002;    1626.1786;       0.0039;    -0.034904;     0.000002;    1625.1881;     -56.7488;   3464147740
5.0118723e+002;    1634.2889;       0.0033;    -0.038522;     0.000002;    1633.0765;     -62.9413;   3464147742
3.9810717e+002;    1643.5254;       0.0038;    -0.042360;     0.000001;    1642.0511;     -69.5987;   3464147744
3.1622777e+002;    1654.1553;       0.0032;    -0.046354;     0.000001;    1652.3784;     -76.6500;   3464147746
2.5118864e+002;    1666.2258;       0.0063;    -0.050407;     0.000002;    1664.1094;     -83.9544;   3464147748
1.9952623e+002;    1679.8954;       0.0047;    -0.054387;     0.000002;    1677.4115;     -91.3195;   3464147749
1.5848932e+002;    1695.3621;       0.0042;    -0.058113;     0.000005;    1692.5001;     -98.4677;   3464147751
1.2589254e+002;    1712.5603;       0.0051;    -0.061364;     0.000005;    1709.3369;    -105.0240;   3464147753
1.0000000e+002;    1731.3730;       0.0067;    -0.063895;     0.000005;    1727.8400;    -110.5511;   3464147755
7.9432823e+001;    1751.7172;       0.0095;    -0.065464;     0.000002;    1747.9651;    -114.5923;   3464147757
6.3095734e+001;    1773.0415;       0.0021;    -0.065820;     0.000005;    1769.2023;    -116.6178;   3464147758
5.0118723e+001;    1794.6600;       0.0061;    -0.064866;     0.000002;    1790.8858;    -116.3306;   3464147760
3.9810717e+001;    1815.9433;       0.0085;    -0.062546;     0.000005;    1812.3925;    -113.5059;   3464147762
3.1622777e+001;    1836.1234;       0.0093;    -0.059015;     0.000001;    1832.9270;    -108.2956;   3464147764
